S,MLS #,Street Address,Price,DOM,Beds Total,Sq Ft Total,Bths,Lot Size,Postal City,Property Sub Type,Age
S,ML81887197,1396 Fallen Leaf Drive,"$1,815,000 ",12,3,"1,688",2|0,"6,430 Lot SqFt",Milpitas,Res. Single Family,54
S,ML81886955,1962 Kobara Lane,"$1,780,000 ",12,3,"1,610",2|1,"7,276 Lot SqFt",San Jose,Res. Single Family,65
S,ML81887022,538 Churchill Park Drive,"$1,675,000 ",12,4,"2,124",2|1,"7,442 Lot SqFt",San Jose,Res. Single Family,49
S,BE40994433,2134 Kingsbury Cir ,"$1,540,000 ",12,3,"1,589",2|1,"2,912 Lot SqFt",Santa Clara,Res. Single Family,22
S,ML81887522,7645 Alister Court,"$1,525,000 ",12,4,"2,579",3|0,"6,882 Lot SqFt",Gilroy,Res. Single Family,12
S,ML81889271,241 Spring Valley Lane,"$1,500,000 ",12,3,"1,242",2|0,"6,392 Lot SqFt",Milpitas,Res. Single Family,52
S,ML81887139,4247 Rosenbaum Avenue,"$1,470,000 ",12,3,"1,442",2|0,"6,255 Lot SqFt",San Jose,Res. Single Family,51
S,ML81888106,1524 Willowgate Drive,"$1,450,000 ",12,3,"1,137",2|0,"5,789 Lot SqFt",San Jose,Res. Single Family,65
S,BE40987983,774 River View Dr ,"$1,425,000 ",12,4,"1,893",2|1,"12,739 Lot SqFt",San Jose,Res. Single Family,46
S,ML81886945,3134 Gardendale Drive,"$1,420,000 ",12,4,"1,248",2|0,"6,371 Lot SqFt",San Jose,Res. Single Family,66
S,ML81890103,4820 Corrales Drive,"$1,320,000 ",12,3,"1,385",2|0,"6,625 Lot SqFt",San Jose,Res. Single Family,52
S,BE40989607,377 Springpark Cir ,"$1,295,000 ",12,4,"1,466",2|0,"5,500 Lot SqFt",San Jose,Res. Single Family,54
S,ML81884786,244 Blossom Hill Road,"$1,280,000 ",12,3,"1,617",2|0,"6,250 Lot SqFt",San Jose,Res. Single Family,59
S,ML81887711,1230 Glen Brae Lane,"$1,275,000 ",12,3,"1,200",2|0,"6,648 Lot SqFt",San Jose,Res. Single Family,60
S,ML81888762,715 N 11th Street,"$1,220,000 ",12,3,"1,717",3|1,"1,754 Lot SqFt",San Jose,Res. Single Family,8
S,ML81889121,260 Beegum Way,"$1,200,000 ",12,3,"1,546",2|1,"5,000 Lot SqFt",San Jose,Res. Single Family,59
S,ML81884010,611 Fenton Street,"$1,200,000 ",12,3,"1,395",3|0,"5,068 Lot SqFt",San Jose,Res. Single Family,56
S,ML81888337,1849 Forest Court,"$1,150,000 ",12,3,"1,215",2|0,"3,151 Lot SqFt",Milpitas,Res. Single Family,57
S,ML81886064,145 W San Martin Avenue,"$1,130,000 ",12,2,"1,452",1|0,"9,624 Lot SqFt",San Martin,Res. Single Family,66
S,ML81887719,1726 Midfield Avenue,"$970,000 ",12,3,960,1|0,"5,007 Lot SqFt",San Jose,Res. Single Family,63
S,ML81885727,7720 Rosanna Street,"$730,000 ",12,3,"1,120",2|0,"6,338 Lot SqFt",Gilroy,Res. Single Family,112
S,ML81891177,21298 Maria Lane,"$3,750,000 ",13,4,"2,663",3|0,"14,000 Lot SqFt",Saratoga,Res. Single Family,7
S,ML81886932,70 Cody Lane,"$3,650,000 ",13,4,"2,293",2|1,"9,880 Lot SqFt",Los Altos,Res. Single Family,56
S,ML81888341,12162 Woodside Drive,"$3,350,000 ",13,5,"2,371",3|1,"9,750 Lot SqFt",Saratoga,Res. Single Family,66
S,BE40990456,1059 Peony Dr ,"$2,803,000 ",13,4,"3,055",3|1,"3,859 Lot SqFt",Milpitas,Res. Single Family,1
S,ML81887515,1594 Summerfield Drive,"$2,800,000 ",13,4,"2,594",3|0,"6,098 Lot SqFt",Campbell,Res. Single Family,25
S,ML81886694,3707 Cefalu Drive,"$2,580,000 ",13,4,"1,924",2|0,"6,120 Lot SqFt",San Jose,Res. Single Family,61
S,ML81888886,2744 Lansford Avenue,"$2,500,000 ",13,4,"2,436",2|1,"8,549 Lot SqFt",San Jose,Res. Single Family,68
S,ML81885910,858 N Central Avenue,"$2,500,000 ",13,3,"1,844",2|1,"10,483 Lot SqFt",Campbell,Res. Single Family,70
S,ML81892265,1417 Norman Drive,"$2,450,000 ",13,5,"2,000",5|0,"9,300 Lot SqFt",Sunnyvale,Res. Single Family,71
S,ML81887579,712 Salvatierra Street,"$2,425,000 ",13,3,"1,857",2|0,"14,655 Lot SqFt",Stanford,Res. Single Family,93
S,ML81888719,1571 Husted Avenue,"$2,350,000 ",13,3,"1,888",2|0,"6,694 Lot SqFt",San Jose,Res. Single Family,69
S,BE40989064,1752 Harte Dr ,"$2,150,000 ",13,4,"1,688",2|0,"7,062 Lot SqFt",San Jose,Res. Single Family,61
S,SF422646351,3109 Maddux Drive,"$2,150,000 ",13,3,"1,004",1|0,"7,748 Lot SqFt",Palo Alto,Res. Single Family,0
S,ML81886190,1264 Poplar Avenue,"$2,150,000 ",13,3,"1,746",3|0,"2,994 Lot SqFt",Sunnyvale,Res. Single Family,18
S,BE40987569,1497 Portobelo Dr ,"$2,100,000 ",13,3,"1,579",2|0,"7,035 Lot SqFt",San Jose,Res. Single Family,55
S,ML81885235,1112 Holmes Avenue,"$2,050,000 ",13,4,"2,121",2|1,"8,716 Lot SqFt",Campbell,Res. Single Family,67
S,CC40988759,2641 Flagstone Dr ,"$1,999,999 ",13,4,"2,360",3|0,"6,000 Lot SqFt",San Jose,Res. Single Family,48
S,ML81888500,374 Huckleberry Drive,"$1,970,000 ",13,4,"2,450",3|0,"4,531 Lot SqFt",San Jose,Res. Single Family,24
S,ML81885696,1681 Mount Vernon Drive,"$1,950,000 ",13,4,"1,743",2|0,"6,301 Lot SqFt",San Jose,Res. Single Family,66
S,ML81886788,2139 Orestes Way,"$1,900,000 ",13,3,"1,483",2|0,"6,009 Lot SqFt",Campbell,Res. Single Family,58
S,ML81883607,12581 Clayton Road,"$1,775,000 ",13,4,"2,245",2|1,3.63 Acres,San Jose,Res. Single Family,84
S,ML81892488,3475 Kenyon Drive,"$1,750,000 ",13,5,"1,902",3|0,"6,262 Lot SqFt",Santa Clara,Res. Single Family,61
S,ML81890480,4207 Vistamont Drive,"$1,739,000 ",13,3,"1,651",2|0,"6,000 Lot SqFt",San Jose,Res. Single Family,55
S,ML81882045,305 Coty Way,"$1,700,000 ",13,6,"2,236",3|0,"6,860 Lot SqFt",San Jose,Res. Single Family,51
S,ML81887765,1280 Socorro Avenue,"$1,680,000 ",13,3,"1,108",2|0,"5,933 Lot SqFt",Sunnyvale,Res. Single Family,67
S,ML81887910,4387 Venice Way,"$1,646,000 ",13,3,"1,400",2|0,"6,000 Lot SqFt",San Jose,Res. Single Family,65
S,ML81888782,742 Lakemuir Drive,"$1,450,000 ",13,3,"1,108",2|0,"5,512 Lot SqFt",Sunnyvale,Res. Single Family,65
S,ML81884504,914 Kingfisher Drive,"$1,450,000 ",13,3,"1,302",2|0,"6,343 Lot SqFt",San Jose,Res. Single Family,66
S,ML81887883,374 Grandin Court,"$1,350,000 ",13,3,"1,668",2|0,"6,963 Lot SqFt",San Jose,Res. Single Family,54
S,BE40990835,1789 Girard Dr ,"$1,335,000 ",13,3,"1,102",2|0,"6,000 Lot SqFt",Milpitas,Res. Single Family,62
S,ML81890909,1797 Mount Pleasant Road,"$1,280,000 ",13,3,"1,413",2|0,"6,105 Lot SqFt",San Jose,Res. Single Family,44
S,ML81887567,19051 Chicory Lane,"$1,210,027 ",13,3,"1,986",2|1,"5,197 Lot SqFt",Morgan Hill,Res. Single Family,7
S,ML81887716,1267 Lightland Road,"$1,200,888 ",13,3,"1,239",2|0,"3,570 Lot SqFt",San Jose,Res. Single Family,46
S,ML81889151,2159 Laurelei Avenue,"$1,200,000 ",13,3,"1,120",1|0,"6,431 Lot SqFt",San Jose,Res. Single Family,72
S,ML81889262,262 Bluefield Drive,"$1,190,000 ",13,3,"1,305",2|0,"5,680 Lot SqFt",San Jose,Res. Single Family,50
S,ML81888154,286 N Pastoria Avenue,"$1,180,000 ",13,1,570,1|0,"5,459 Lot SqFt",Sunnyvale,Res. Single Family,74
S,ML81885521,16647 Lone Hill Drive,"$825,000 ",13,3,"1,032",2|0,"1,358 Lot SqFt",Morgan Hill,Res. Single Family,39
S,ML81890507,1698 Nightingale Avenue,"$2,950,000 ",14,4,"2,296",3|1,"6,189 Lot SqFt",Sunnyvale,Res. Single Family,5
S,ML81888977,3311 Tracy Drive,"$2,750,000 ",14,5,"2,340",3|0,"6,282 Lot SqFt",Santa Clara,Res. Single Family,65
S,ML81884261,866 Forest Ridge Drive,"$2,730,000 ",14,5,"2,239",2|1,"5,940 Lot SqFt",San Jose,Res. Single Family,55
S,ML81887785,1173 Old Oak Drive,"$2,650,000 ",14,4,"2,392",3|0,"8,310 Lot SqFt",San Jose,Res. Single Family,57
S,ML81886426,18312 Solano Court,"$2,000,000 ",14,4,"3,074",3|0,"6,905 Lot SqFt",Morgan Hill,Res. Single Family,23
S,ML81889944,1286 Lennon Way,"$1,900,000 ",14,3,"1,687",2|0,"6,882 Lot SqFt",San Jose,Res. Single Family,73
S,ML81888704,867 Pinewood Drive,"$1,810,000 ",14,3,"1,547",2|0,"6,123 Lot SqFt",San Jose,Res. Single Family,67
S,ML81886853,1928 Meridian Avenue,"$1,800,000 ",14,4,"2,833",3|1,"5,331 Lot SqFt",San Jose,Res. Single Family,36
S,ML81882255,16201 Stevens Canyon Road,"$1,800,000 ",14,4,"2,000",2|0,1.28 Acres,Cupertino,Res. Single Family,82
S,ML81883644,708 Flannery Street,"$1,700,000 ",14,4,"1,370",2|0,"5,188 Lot SqFt",Santa Clara,Res. Single Family,67
S,ML81883971,3300 Canada Road,"$1,650,000 ",14,4,"2,908",3|0,2.68 Acres,Gilroy,Res. Single Family,47
S,BE40988040,2988 Heidi Ct ,"$1,580,000 ",14,4,"1,577",3|0,"7,020 Lot SqFt",San Jose,Res. Single Family,59
S,ML81888779,1747 Clovis Avenue,"$1,500,000 ",14,3,"1,437",2|0,"8,981 Lot SqFt",San Jose,Res. Single Family,63
S,ML81886709,2510 Pioneer Avenue,"$1,500,000 ",14,3,"1,519",2|0,"5,199 Lot SqFt",San Jose,Res. Single Family,75
S,ML81886835,1622 Barberry Lane,"$1,277,250 ",14,4,"2,172",2|0,"7,883 Lot SqFt",San Jose,Res. Single Family,45
S,ML81886023,9145 Desiderio Way,"$1,210,000 ",14,4,"2,608",3|0,"5,190 Lot SqFt",Gilroy,Res. Single Family,17
S,ML81888146,1935 Edgestone Cir ,"$1,170,000 ",14,4,"1,652",3|0,"4,050 Lot SqFt",San Jose,Res. Single Family,42
S,ML81884305,130 Solar Court,"$1,150,000 ",14,3,"1,000",1|1,"6,200 Lot SqFt",Milpitas,Res. Single Family,64
S,SF422649918,1175 Spiro Drive,"$1,100,000 ",14,3,"1,101",2|0,"4,283 Lot SqFt",San Jose,Res. Single Family,0
S,ML81887976,901 Hutchinson Avenue,"$3,550,000 ",15,3,"1,901",2|0,"7,054 Lot SqFt",Palo Alto,Res. Single Family,81
S,ML81888850,10366 Heney Creek Place,"$3,388,000 ",15,4,"3,284",3|0,"10,411 Lot SqFt",Cupertino,Res. Single Family,43
S,ML81888365,1115 Sussex Square,"$2,900,000 ",15,4,"2,494",2|1,"5,589 Lot SqFt",Mountain View,Res. Single Family,44
S,ML81886614,783 Finchwood Way,"$2,645,000 ",15,5,"2,760",3|0,"8,000 Lot SqFt",San Jose,Res. Single Family,42
S,ML81886387,7016 Brooktree Way,"$2,500,000 ",15,4,"2,334",3|0,"20,000 Lot SqFt",San Jose,Res. Single Family,47
S,ML81883145,4163 Casa Grande Court,"$2,240,000 ",15,5,"2,494",2|1,"10,393 Lot SqFt",San Jose,Res. Single Family,56
S,ML81885257,4035 Payne Avenue,"$1,800,000 ",15,4,"1,769",2|0,"7,085 Lot SqFt",San Jose,Res. Single Family,59
S,ML81885601,16765 Oak View Circle,"$1,720,000 ",15,5,"4,510",4|1,"24,430 Lot SqFt",Morgan Hill,Res. Single Family,45
S,ML81884908,3638 Gavota Avenue,"$1,720,000 ",15,3,"1,319",2|0,"6,115 Lot SqFt",San Jose,Res. Single Family,65
S,ML81886584,15950 Oakridge Road,"$1,655,000 ",15,4,"2,904",3|0,"14,366 Lot SqFt",Morgan Hill,Res. Single Family,49
S,ML81887619,3928 Jarvis Avenue,"$1,375,000 ",15,4,"1,474",2|0,"6,679 Lot SqFt",San Jose,Res. Single Family,58
S,ML81887451,700 Vasona Street,"$1,315,000 ",15,3,"1,277",2|0,"6,231 Lot SqFt",Milpitas,Res. Single Family,62
S,ML81889075,774 Lakewood Drive,"$1,240,000 ",15,3,"1,108",2|0,"6,307 Lot SqFt",Sunnyvale,Res. Single Family,65
S,ML81889995,78 N 34th Street,"$960,000 ",15,3,"1,700",2|0,"10,250 Lot SqFt",San Jose,Res. Single Family,102
S,ML81882106,1140 Crescent Drive,"$2,550,000 ",16,3,"2,820",3|0,"6,056 Lot SqFt",San Jose,Res. Single Family,81
S,ML81881160,1614 Rocky Mountain Avenue,"$2,250,000 ",16,4,"2,029",2|1,"9,558 Lot SqFt",Milpitas,Res. Single Family,54
S,ML81890031,1747 Cottle Avenue,"$1,810,000 ",16,3,"1,807",2|1,"8,250 Lot SqFt",San Jose,Res. Single Family,71
S,ML81888469,3440 Grossmont Drive,"$1,800,000 ",16,4,"1,502",2|0,"8,831 Lot SqFt",San Jose,Res. Single Family,63
S,ML81890465,3339 Quesada Drive,"$1,675,000 ",16,3,"2,039",2|1,"6,300 Lot SqFt",San Jose,Res. Single Family,43
S,ML81884551,16255 Jackson Oaks Drive,"$1,500,000 ",16,4,"2,491",3|0,"18,059 Lot SqFt",Morgan Hill,Res. Single Family,50
S,ML81887384,6089 Larchmont Drive,"$1,440,000 ",16,3,"1,507",2|0,"6,084 Lot SqFt",San Jose,Res. Single Family,54
S,ML81886574,743 Locust Street,"$1,020,000 ",16,2,"1,170",1|0,"5,884 Lot SqFt",San Jose,Res. Single Family,113
S,ML81888980,1811 Woodridge Way,"$1,010,000 ",16,3,"1,289",2|0,"6,217 Lot SqFt",San Jose,Res. Single Family,54
S,ML81886013 ,1552 E San Fernando Street,"$1,010,000 ",16,4,"1,553",2|0,"5,360 Lot SqFt",San Jose,Res. Single Family,92
S,ME222033716,468 N 11th Street,"$861,500 ",16,4,"1,722",2|0,"5,985 Lot SqFt",San Jose,Res. Single Family,0
S,ML81887122,840 Parma Way,"$5,550,000 ",17,4,"3,238",3|1,"15,202 Lot SqFt",Los Altos,Res. Single Family,74
S,ML81889366,2190 Webster Street,"$5,500,000 ",17,4,"2,528",3|0,"7,932 Lot SqFt",Palo Alto,Res. Single Family,87
S,ML81886602,485 Marion Avenue,"$3,862,500 ",17,4,"2,066",2|0,"5,849 Lot SqFt",Palo Alto,Res. Single Family,77
S,ML81889466,1242 Spaich Drive,"$2,400,000 ",17,4,"2,532",2|1,"6,036 Lot SqFt",San Jose,Res. Single Family,42
S,ML81887268,2666 La Salle Way,"$1,999,999 ",17,3,"1,467",2|0,"6,048 Lot SqFt",San Jose,Res. Single Family,62
S,ML81886918,3727 Kirk Road,"$1,780,000 ",17,4,"1,946",3|0,"5,922 Lot SqFt",San Jose,Res. Single Family,65
S,ML81885410,16955 Uvas Road,"$1,750,000 ",17,6,"4,357",4|0,1.12 Acres,Morgan Hill,Res. Single Family,40
S,ML81887964,1903 Junesong Way,"$1,620,000 ",17,4,"2,293",2|1,"4,352 Lot SqFt",San Jose,Res. Single Family,31
S,ML81888236,998 Hamilton Avenue,"$1,591,000 ",17,3,"1,659",2|0,"5,815 Lot SqFt",Milpitas,Res. Single Family,44
S,ML81886122,7025 Yorktown Drive,"$1,100,000 ",17,5,"2,590",3|0,"7,094 Lot SqFt",Gilroy,Res. Single Family,42
S,BE40988156,3315 Mount Everest Dr ,"$1,085,000 ",17,5,"1,659",2|0,"5,000 Lot SqFt",San Jose,Res. Single Family,61
S,ML81892562,3263 Mount Vista Drive,"$870,000 ",17,3,"1,198",2|0,"5,400 Lot SqFt",San Jose,Res. Single Family,63
S,ML81880196,5333 Greenside Drive,"$2,730,000 ",18,4,"4,216",3|1,"23,014 Lot SqFt",San Jose,Res. Single Family,102
S,ML81884538,5080 Shady Avenue,"$2,450,000 ",18,4,"2,119",2|1,"6,134 Lot SqFt",San Jose,Res. Single Family,59
S,ML81885308,203 Waverly Street,"$2,352,000 ",18,3,"1,404",2|0,"6,000 Lot SqFt",Sunnyvale,Res. Single Family,112
S,ML81888715,3618 Pyramid Way ,"$2,040,000 ",18,3,"1,776",3|1,"1,425 Lot SqFt",Mountain View,Res. Single Family,4
S,ML81888965,2281 Petersburg Drive,"$1,850,000 ",18,4,"2,074",3|0,"6,880 Lot SqFt",Milpitas,Res. Single Family,52
S,ML81884271,516 N Baywood Avenue,"$1,850,000 ",18,5,"2,097",2|0,"5,186 Lot SqFt",San Jose,Res. Single Family,72
S,ML81888741,17570 Blue Jay Drive,"$1,810,000 ",18,3,"5,167",4|0,"18,997 Lot SqFt",Morgan Hill,Res. Single Family,42
S,SF422647605,430 Morse Avenue,"$1,650,000 ",18,4,"1,320",3|0,"7,089 Lot SqFt",Sunnyvale,Res. Single Family,0
S,ML81890422,2845 Ronco Drive,"$1,550,000 ",18,4,"2,150",2|1,"6,000 Lot SqFt",San Jose,Res. Single Family,52
S,ML81889457,1421 Bouret Drive,"$1,440,000 ",18,3,"1,080",2|0,"11,400 Lot SqFt",San Jose,Res. Single Family,59
S,ML81887010,860 N 19th Street,"$1,400,000 ",18,3,"1,559",1|0,"12,774 Lot SqFt",San Jose,Res. Single Family,121
S,ML81887708,1015 Marianelli Court,"$1,020,000 ",18,3,"1,180",2|0,"5,028 Lot SqFt",San Jose,Res. Single Family,45
S,ML81884385,617 N 17th Street,"$895,000 ",18,3,828,1|0,"5,665 Lot SqFt",San Jose,Res. Single Family,82
S,ML81884794,41 Hawthorne Avenue,"$4,220,000 ",19,5,"3,174",3|1,"15,000 Lot SqFt",Los Altos,Res. Single Family,98
S,ML81892115,4012 Scripps Avenue,"$3,750,000 ",19,5,"2,243",3|0,"7,650 Lot SqFt",Palo Alto,Res. Single Family,67
S,ML81886275,12260 Fredericksburg Court,"$3,650,000 ",19,4,"2,534",2|0,"14,375 Lot SqFt",Saratoga,Res. Single Family,54
S,ML81888072,1128 Kendal Court,"$3,200,000 ",19,4,"3,319",3|0,"8,102 Lot SqFt",San Jose,Res. Single Family,38
S,ML81885573,6469 Camelia Drive,"$3,000,000 ",19,4,"2,844",3|0,"8,877 Lot SqFt",San Jose,Res. Single Family,60
S,ML81884402,1458 Inwood Court,"$2,486,000 ",19,5,"2,733",3|0,"8,522 Lot SqFt",Campbell,Res. Single Family,60
S,ML81886703,1441 Camino Robles Way,"$2,260,000 ",19,4,"2,390",2|1,"8,171 Lot SqFt",San Jose,Res. Single Family,51
S,ML81887791,2592 Lansford Avenue,"$2,050,000 ",19,3,"1,640",3|0,"8,059 Lot SqFt",San Jose,Res. Single Family,68
S,ML81885887,1442 Hoffman Lane,"$1,820,000 ",19,4,"2,340",2|1,"4,479 Lot SqFt",Campbell,Res. Single Family,17
S,ML81887123,4675 La Crescent Loop,"$1,500,000 ",19,4,"1,949",2|1,"3,200 Lot SqFt",San Jose,Res. Single Family,23
S,ML81884546,338 Blossom Hill Road,"$1,500,000 ",19,4,"1,926",2|1,"7,388 Lot SqFt",San Jose,Res. Single Family,53
S,ME222047172,3308 Whitman Way,"$1,450,000 ",19,3,"1,383",2|0,"6,055 Lot SqFt",San Jose,Res. Single Family,0
S,ML81884577,833 Apple Valley Drive,"$1,450,000 ",19,3,"1,270",2|0,"6,287 Lot SqFt",San Jose,Res. Single Family,62
S,ML81889083,170 S Morrison Avenue,"$1,280,000 ",19,2,"1,067",1|0,"6,474 Lot SqFt",San Jose,Res. Single Family,75
S,ML81885446,505 Calle Buena Vista,"$1,150,000 ",19,4,"1,831",2|1,"3,147 Lot SqFt",Morgan Hill,Res. Single Family,17
S,ML81885244,1678 Orlando Drive,"$960,000 ",19,4,"1,236",2|0,"5,346 Lot SqFt",San Jose,Res. Single Family,63
S,ML81885789,334 Rutland Avenue,"$890,000 ",19,2,"1,069",1|0,"3,873 Lot SqFt",San Jose,Res. Single Family,83
S,ML81890569,21764 Congress Hall Lane,"$6,400,000 ",20,5,"6,177",4|0,3.22 Acres,Saratoga,Res. Single Family,34
S,ML81887759,545 Valley View Drive,"$4,300,000 ",20,4,"3,885",3|1,"17,820 Lot SqFt",Los Altos,Res. Single Family,29
S,ML81887559,1650 Mcgregor Way,"$2,500,000 ",20,3,"1,400",2|0,"6,196 Lot SqFt",San Jose,Res. Single Family,63
S,ML81885763,520 Franklin Street,"$2,050,000 ",20,2,948,1|1,"2,500 Lot SqFt",Mountain View,Res. Single Family,82
S,ML81889153,575 Calle Siena ,"$1,860,000 ",20,5,"3,727",4|0,"7,904 Lot SqFt",Morgan Hill,Res. Single Family,23
S,ML81885832,1935 Saint Andrews Circle,"$1,850,000 ",20,6,"3,843",3|1,"8,433 Lot SqFt",Gilroy,Res. Single Family,23
S,ML81882181,773 Pelleas Lane,"$1,575,000 ",20,5,"2,533",3|0,"6,060 Lot SqFt",San Jose,Res. Single Family,49
S,ML81889109,537 Coakley Drive,"$1,500,000 ",20,3,"1,643",2|0,"6,100 Lot SqFt",San Jose,Res. Single Family,65
S,ML81885341,510 Beth Drive,"$1,010,000 ",20,4,"1,241",2|0,"4,918 Lot SqFt",San Jose,Res. Single Family,62
S,ME221143782,456 N 11th Street,"$920,000 ",20,2,"1,260",1|0,"5,985 Lot SqFt",San Jose,Res. Single Family,0
S,ML81885536,544 Hoover Court,"$740,000 ",20,2,"1,116",2|0,"3,149 Lot SqFt",Gilroy,Res. Single Family,39
S,ML81885695,19970 Herriman Avenue,"$4,200,000 ",21,4,"2,336",2|1,"11,718 Lot SqFt",Saratoga,Res. Single Family,65
S,ML81887238,1340 Elwood Drive,"$2,300,000 ",21,5,"2,620",2|1,"9,242 Lot SqFt",Los Gatos,Res. Single Family,54
S,ML81879274,1511 Shaw Drive,"$2,120,000 ",21,4,"1,885",3|0,"7,266 Lot SqFt",San Jose,Res. Single Family,63
S,ML81884440,935 Myrtle Street,"$1,995,000 ",21,3,"1,704",2|0,"7,618 Lot SqFt",San Jose,Res. Single Family,32
S,ML81890635,768 Dailey Avenue,"$1,430,000 ",21,4,"1,534",2|0,"6,784 Lot SqFt",San Jose,Res. Single Family,47
S,ML81883630,47 Roosevelt Circle,"$2,900,000 ",22,4,"1,664",2|0,"6,504 Lot SqFt",Palo Alto,Res. Single Family,71
S,ML81887992,365 Palo Alto Avenue,"$2,420,000 ",22,3,"1,314",2|0,"7,275 Lot SqFt",Mountain View,Res. Single Family,81
S,ML81888367,3457 Santa Barbara Avenue,"$2,000,000 ",22,4,"1,500",2|0,"5,344 Lot SqFt",Santa Clara,Res. Single Family,68
S,ML81888215,1494 Medallion Drive,"$1,825,000 ",22,3,"1,477",2|0,"8,449 Lot SqFt",San Jose,Res. Single Family,51
S,ME222047656,16030 Escobar Avenue,"$1,800,000 ",22,3,"1,672",2|1,"7,973 Lot SqFt",Los Gatos,Res. Single Family,0
S,ML81885813,89 River Ash Court,"$1,465,000 ",22,4,"1,935",2|0,"6,126 Lot SqFt",San Jose,Res. Single Family,43
S,ML81884691,2981 Park Lane,"$1,200,000 ",22,3,"1,289",2|0,"7,094 Lot SqFt",San Jose,Res. Single Family,54
S,ML81884548,118 Churchill Avenue,"$4,450,000 ",23,5,"3,713",5|0,"7,500 Lot SqFt",Palo Alto,Res. Single Family,16
S,ML81884562,424 N 3rd Street,"$2,300,000 ",23,5,"3,332",5|1,"9,510 Lot SqFt",San Jose,Res. Single Family,123
S,ML81883523,21150 Uvas Road,"$1,700,000 ",23,5,"2,483",3|1,5.09 Acres,Morgan Hill,Res. Single Family,57
S,ML81882486,1511 Blossom Hill Road,"$1,440,000 ",23,4,"1,252",2|0,"6,771 Lot SqFt",San Jose,Res. Single Family,63
S,ML81885505,53 Cleaves Avenue,"$1,150,000 ",23,3,"1,371",1|0,"4,678 Lot SqFt",San Jose,Res. Single Family,102
S,ML81888849,336 N Whisman Road,"$2,550,000 ",24,3,"1,740",2|0,"6,900 Lot SqFt",Mountain View,Res. Single Family,66
S,ML81887084,3299 Kirk Road,"$1,500,000 ",24,3,"1,160",2|0,"6,073 Lot SqFt",San Jose,Res. Single Family,66
S,ML81889747,2860 Encinitas Court,"$1,280,000 ",24,4,"1,900",2|0,"8,944 Lot SqFt",San Jose,Res. Single Family,52
S,ML81887225,3412 Casalino Court,"$1,180,000 ",24,3,"1,153",2|0,"8,144 Lot SqFt",San Jose,Res. Single Family,39
S,ML81884854,73 Alexander Court,"$1,120,000 ",24,4,"1,464",2|0,"7,523 Lot SqFt",San Jose,Res. Single Family,75
S,ML81878066,16800 Bohlman Road,"$2,500,000 ",25,4,"2,034",2|1,3.24 Acres,Saratoga,Res. Single Family,46
S,ML81888248,1383 Maryann Drive,"$1,750,000 ",25,3,"1,793",2|1,"7,152 Lot SqFt",Santa Clara,Res. Single Family,64
S,ML81883752,6129 Manteca Court,"$1,552,000 ",25,5,"2,132",2|1,"7,071 Lot SqFt",San Jose,Res. Single Family,55
S,ML81884631,606 Osage Court,"$1,430,000 ",25,3,"1,347",2|0,"8,433 Lot SqFt",San Jose,Res. Single Family,59
S,ML81887590,3358 Soares Court,"$2,070,000 ",26,5,"2,633",3|1,"6,390 Lot SqFt",Santa Clara,Res. Single Family,57
S,ML81883292,591 S Taaffe Street,"$1,950,000 ",26,4,"1,960",2|1,"4,900 Lot SqFt",Sunnyvale,Res. Single Family,82
S,ML81884155,2316 Bohannon Drive,"$1,825,000 ",26,3,"1,995",2|0,"6,200 Lot SqFt",Santa Clara,Res. Single Family,70
S,BE40986814,1219 Ravenscourt Ave ,"$1,650,000 ",26,3,"1,350",2|0,"5,959 Lot SqFt",San Jose,Res. Single Family,61
S,ML81886080,7111 Via Lomas Court,"$1,380,000 ",26,3,"1,688",2|0,"6,089 Lot SqFt",San Jose,Res. Single Family,50
S,ML81881192,1342 Lansing Avenue,"$1,300,000 ",26,4,"1,408",2|0,"6,075 Lot SqFt",San Jose,Res. Single Family,58
S,ML81889325,179 S 1st Street,"$1,050,000 ",26,1,540,1|0,"3,726 Lot SqFt",Campbell,Res. Single Family,85
S,ML81887692,2638 Pendragon Lane,"$875,000 ",26,3,"1,136",2|0,"5,057 Lot SqFt",San Jose,Res. Single Family,63
S,ML81883663,16741 Loma Street,"$3,800,000 ",27,5,"2,866",4|0,"5,027 Lot SqFt",Los Gatos,Res. Single Family,6
S,ME222030816,400 W Dunne Avenue,"$1,675,000 ",27,3,"1,668",2|1,"23,884 Lot SqFt",Morgan Hill,Res. Single Family,0
S,BE40987114,58 Pimentel Cir ,"$1,600,000 ",27,4,"2,284",3|1,"1,621 Lot SqFt",Milpitas,Res. Single Family,9
S,ML81884443,17051 Pistache Drive,"$1,270,000 ",27,4,"2,255",3|0,"4,828 Lot SqFt",Morgan Hill,Res. Single Family,11
S,ML81892795,3264 Rocky Mountain Drive,"$975,000 ",27,3,"1,040",2|0,"5,244 Lot SqFt",San Jose,Res. Single Family,62
S,ML81884379,125 Bennett Street,"$915,000 ",27,3,"1,336",2|1,"3,635 Lot SqFt",Gilroy,Res. Single Family,25
S,ML81880941,8030 Croy Road,"$842,500 ",27,3,"1,500",2|0,21.45 Acres,Morgan Hill,Res. Single Family,74
S,ML81886745,10301 Stonydale Drive,"$2,900,000 ",28,4,"2,282",2|1,"13,190 Lot SqFt",Cupertino,Res. Single Family,57
